id	Comment	Level	Type	InGameName	TrainCost	UpgradeCost	UpgradeTime	UpdateDiamond	Hurt	Velocity	Hp	CostUnit	FightCapacity	
40	高压电塔-Voltage tower	10	4	1004	-1	-1	-1	-1	140	100	230	0	71	
41	造雾机-Fog chamber	1	5	1005	14	378	8	46	30	100	60	0	32	
42	造雾机-Fog chamber	2	5	1005	16	462	15	54	40	100	70	0	35	
43	造雾机-Fog chamber	3	5	1005	18	546	22	63	50	100	80	0	38	
44	造雾机-Fog chamber	4	5	1005	20	630	29	71	60	100	90	0	41	
45	造雾机-Fog chamber	5	5	1005	22	714	36	79	70	100	100	0	44	
46	造雾机-Fog chamber	6	5	1005	24	798	43	88	80	100	110	0	47	
47	造雾机-Fog chamber	7	5	1005	26	882	50	96	90	100	120	0	50	
48	造雾机-Fog chamber	8	5	1005	28	966	57	105	100	100	130	0	53	
49	造雾机-Fog chamber	9	5	1005	30	1050	64	113	110	100	140	0	56	
50	造雾机-Fog chamber	10	5	1005	-1	-1	-1	-1	120	100	150	0	59	
51	风车-Windmill	1	6	1006	11	360	7	44	20	100	70	0	31	
52	风车-Windmill	2	6	1006	13	440	13	52	30	100	80	0	34	
53	风车-Windmill	3	6	1006	15	520	19	60	40	100	90	0	37	
54	风车-Windmill	4	6	1006	17	600	25	68	50	100	100	0	40	
55	风车-Windmill	5	6	1006	19	680	31	76	60	100	110	0	43	
56	风车-Windmill	6	6	1006	21	760	37	84	70	100	120	0	46	
57	风车-Windmill	7	6	1006	23	840	43	92	80	100	130	0	49	
58	风车-Windmill	8	6	1006	25	920	49	100	90	100	140	0	52	
59	风车-Windmill	9	6	1006	27	1000	55	108	100	100	150	0	55	
60	风车-Windmill	10	6	1006	-1	-1	-1	-1	110	100	160	0	58	
61	敢死队员-Kamikaze	1	7	1007	22	880	11	96	80	100	140	0	50	
62	敢死队员-Kamikaze	2	7	1007	24	960	22	104	90	100	150	0	53	
63	敢死队员-Kamikaze	3	7	1007	26	1040	33	112	100	100	160	0	56	
64	敢死队员-Kamikaze	4	7	1007	28	1120	44	120	110	100	170	0	59	
65	敢死队员-Kamikaze	5	7	1007	30	1200	55	128	120	100	180	0	62	
66	敢死队员-Kamikaze	6	7	1007	32	1280	66	136	130	100	190	0	65	
67	敢死队员-Kamikaze	7	7	1007	34	1360	77	144	140	100	200	0	68	
68	敢死队员-Kamikaze	8	7	1007	36	1440	88	152	150	100	210	0	71	
69	敢死队员-Kamikaze	9	7	1007	38	1520	99	160	160	100	220	0	74	
70	敢死队员-Kamikaze	10	7	1007	-1	-1	-1	-1	170	100	230	0	77	
71	高射炮-Archibald	1	8	1008	15	600	8	68	30	100	120	0	38	
72	高射炮-Archibald	2	8	1008	17	680	16	76	40	100	130	0	41	
73	高射炮-Archibald	3	8	1008	19	760	24	84	50	100	140	0	44	
74	高射炮-Archibald	4	8	1008	21	840	32	92	60	100	150	0	47	
75	高射炮-Archibald	5	8	1008	23	920	40	100	70	100	160	0	50	
76	高射炮-Archibald	6	8	1008	25	1000	48	108	80	100	170	0	53	
77	高射炮-Archibald	7	8	1008	27	1080	56	116	90	100	180	0	56	
78	高射炮-Archibald	8	8	1008	29	1160	64	124	100	100	190	0	59	
79	高射炮-Archibald	9	8	1008	31	1240	72	132	110	100	200	0	62	
80	高射炮-Archibald	10	8	1008	-1	-1	-1	-1	120	100	210	0	65	
81	S-068	1	9	1009	54	2193	6	320	191	130	300	0	94.2	
82	S-068	2	9	1009	80	3206	12	422	232	130	500	0	122.4	
83	S-068	3	9	1009	105	4220	18	523	273	130	700	0	150.6	
84	S-068	4	9	1009	130	5233	24	624	314	130	900	0	178.8	
85	S-068	5	9	1009	156	6246	30	725	355	130	1100	0	207	
86	S-068	6	9	1009	181	7259	36	827	396	130	1300	0	235.2	
87	S-068	7	9	1009	206	8272	42	928	437	130	1500	0	263.4	
88	S-068	8	9	1009	232	9286	48	1029	478	130	1700	0	291.6	
89	S-068	9	9	1009	257	10299	54	1131	519	130	1900	0	319.8	
90	S-068	10	9	1009	-1	-1	-1	-1	560	130	2100	0	348	
91	M-019	1	10	1010	100	4029	8	498	259	80	800	0	147.8	
92	M-019	2	10	1010	124	4986	16	594	308	80	1000	0	177.6	
93	M-019	3	10	1010	148	5942	24	689	357	80	1200	0	207.4	
94	M-019	4	10	1010	172	6899	32	785	406	80	1400	0	237.2	
95	M-019	5	10	1010	196	7856	40	881	455	80	1600	0	267	
96	M-019	6	10	1010	220	8813	48	977	504	80	1800	0	296.8	
97	M-019	7	10	1010	244	9770	56	1072	553	80	2000	0	326.6	
98	M-019	8	10	1010	268	10726	64	1168	602	80	2200	0	356.4	
99	M-019	9	10	1010	292	11683	72	1264	651	80	2400	0	386.2	
100	M-019	10	10	1010	-1	-1	-1	-1	700	80	2600	0	416	
101	B-500	1	11	1011	84	3396	7	436	249	100	600	0	129.8	
102	B-500	2	11	1011	109	4360	14	532	290	100	800	0	158	
103	B-500	3	11	1011	133	5324	21	628	331	100	1000	0	186.2	
104	B-500	4	11	1011	157	6288	28	725	372	100	1200	0	214.4	
105	B-500	5	11	1011	181	7252	35	836	413	100	1400	0	242.6	
106	B-500	6	11	1011	209	8360	42	934	490	100	1600	0	278	
107	B-500	7	11	1011	233	9348	49	1040	537	100	1800	0	307.4	
108	B-500	8	11	1011	260	10400	56	1139	600	100	2000	0	340	
109	B-500	9	11	1011	284	11396	63	1239	649	100	2200	0	369.8	
110	B-500	10	11	1011	-1	-1	-1	-1	698	100	2400	0	399.6	
111	Dwarf	1	12	1012	135	2000	9	850	249	140	1010	0	178.8	
112	Dwarf	2	12	1012	162	8504	18	1607	290	140	1220	0	208	
113	Dwarf	3	12	1012	189	16078	27	2472	331	140	1430	0	237.2	
114	Dwarf	4	12	1012	216	24721	36	3443	372	140	1640	0	266.4	
115	Dwarf	5	12	1012	242	34434	45	4521	413	140	1850	0	295.6	
116	Dwarf	6	12	1012	269	45216	54	5706	454	140	2060	0	324.8	
117	Dwarf	7	12	1012	296	57068	63	6999	495	140	2270	0	354	
118	Dwarf	8	12	1012	323	69990	72	8398	536	140	2480	0	383.2	
119	Dwarf	9	12	1012	349	83981	81	9904	577	140	2690	0	412.4	
120	Dwarf	10	12	1012	-1	-1	-1	-1	618	140	2900	0	441.6	
121	Albatross	1	13	1013	159	5000	10	1251	251	150	1220	0	202.2	
122	Albatross	2	13	1013	187	12512	20	2115	292	150	1440	0	232.4	
123	Albatross	3	13	1013	215	21150	30	3091	333	150	1660	0	262.6	
124	Albatross	4	13	1013	244	30914	40	4180	374	150	1880	0	292.8	
125	Albatross	5	13	1013	272	41804	50	5382	415	150	2100	0	323	
126	Albatross	6	13	1013	300	53820	60	6696	456	150	2320	0	353.2	
127	Albatross	7	13	1013	328	66962	70	8123	497	150	2540	0	383.4	
128	Albatross	8	13	1013	356	81230	80	9662	538	150	2760	0	413.6	
129	Albatross	9	13	1013	384	96624	90	11314	579	150	2980	0	443.8	
130	Albatross	10	13	1013	-1	-1	-1	-1	620	150	3200	0	474	
131	Hawk	1	14	1014	172	7000	11	1515	279	100	1450	0	220.8	
132	Hawk	2	14	1014	203	15152	22	2454	338	100	1700	0	257.6	
133	Hawk	3	14	1014	234	24540	33	3516	397	100	1950	0	294.4	
134	Hawk	4	14	1014	265	35164	44	4702	456	100	2200	0	331.2	
135	Hawk	5	14	1014	296	47024	55	6012	515	100	2450	0	368	
136	Hawk	6	14	1014	327	60120	66	7445	574	100	2700	0	404.8	
137	Hawk	7	14	1014	358	74452	77	9002	633	100	2950	0	441.6	
138	Hawk	8	14	1014	389	90020	88	10682	692	100	3200	0	478.4	
139	Hawk	9	14	1014	420	106824	99	12486	751	100	3450	0	515.2	
140	Hawk	10	14	1014	-1	-1	-1	-1	810	100	3700	0	552	
141	Phoenix	1	15	1015	195	13000	12	2209	292	100	1660	0	244.4	
142	Phoenix	2	15	1015	227	22096	24	3248	354	100	1920	0	282.8	
143	Phoenix	3	15	1015	259	32480	36	4415	416	100	2180	0	321.2	
144	Phoenix	4	15	1015	291	44152	48	5711	478	100	2440	0	359.6	
145	Phoenix	5	15	1015	324	57112	60	7136	540	100	2700	0	398	
146	Phoenix	6	15	1015	356	71360	72	8689	602	100	2960	0	436.4	
147	Phoenix	7	15	1015	388	86896	84	10372	664	100	3220	0	474.8	
148	Phoenix	8	15	1015	420	103720	96	12183	726	100	3480	0	513.2	
149	Phoenix	9	15	1015	452	121832	108	14123	788	100	3740	0	551.6	
150	Phoenix	10	15	1015	-1	-1	-1	-1	850	100	4000	0	590	
151	Thunder Fighter	1	16	1016	226	17000	13	2748	250	100	2010	0	271	
152	Thunder Fighter	2	16	1016	262	27480	26	3940	300	100	2320	0	312	
153	Thunder Fighter	3	16	1016	298	39400	39	5276	350	100	2630	0	353	
154	Thunder Fighter	4	16	1016	334	52760	52	6756	400	100	2940	0	394	
155	Thunder Fighter	5	16	1016	370	67560	65	8380	450	100	3250	0	435	
156	Thunder Fighter	6	16	1016	406	83800	78	10148	500	100	3560	0	476	
157	Thunder Fighter	7	16	1016	442	101480	91	12060	550	100	3870	0	517	
158	Thunder Fighter	8	16	1016	478	120600	104	14116	600	100	4180	0	558	
159	Thunder Fighter	9	16	1016	514	141160	117	16316	650	100	4490	0	599	
160	Thunder Fighter	10	16	1016	-1	-1	-1	-1	700	100	4800	0	640	
161	Warlord	1	17	1017	255	2500	14	3688	292	150	2120	1	300.4	
162	Warlord	2	17	1017	297	3688	28	5041	354	150	2440	1	344.8	
163	Warlord	3	17	1017	338	5041	42	6559	416	150	2760	1	389.2	
164	Warlord	4	17	1017	379	6559	56	8243	478	150	3080	1	433.6	
165	Warlord	5	17	1017	421	8243	70	10092	540	150	3400	1	478	
166	Warlord	6	17	1017	462	10092	84	12106	602	150	3720	1	522.4	
167	Warlord	7	17	1017	503	12106	98	14285	664	150	4040	1	566.8	
168	Warlord	8	17	1017	544	14285	112	16629	726	150	4360	1	611.2	
169	Warlord	9	17	1017	586	16629	126	19139	788	150	4680	1	655.6	
170	Warlord	10	17	1017	-1	-1	-1	-1	850	150	5000	1	700	
171	Puma	1	18	1018	12	500	3	112	50	50	100	0	30	
172	Puma	2	18	1018	28	1120	6	174	60	50	250	0	47	
173	Puma	3	18	1018	43	1740	9	236	70	50	400	0	64	
174	Puma	4	18	1018	59	2360	12	298	80	50	550	0	81	
175	Puma	5	18	1018	74	2980	15	360	90	50	700	0	98	
176	Puma	6	18	1018	90	3600	18	422	100	50	850	0	115	
177	Puma	7	18	1018	105	4220	21	484	110	50	1000	0	132	
178	Puma	8	18	1018	121	4840	24	546	120	50	1150	0	149	
179	Puma	9	18	1018	136	5460	27	608	130	50	1300	0	166	
180	Puma	10	18	1018	-1	-1	-1	-1	140	50	1450	0	183	
181	Tempura	1	19	1019	14	560	4	119	50	80	100	0	36	
182	Tempura	2	19	1019	29	1192	8	182	60	80	250	0	53	
183	Tempura	3	19	1019	45	1824	12	245	70	80	400	0	70	
184	Tempura	4	19	1019	61	2456	16	308	80	80	550	0	87	
185	Tempura	5	19	1019	77	3088	20	372	90	80	700	0	104	
186	Tempura	6	19	1019	93	3720	24	435	100	80	850	0	121	
187	Tempura	7	19	1019	108	4352	28	498	110	80	1000	0	138	
188	Tempura	8	19	1019	124	4984	32	561	120	80	1150	0	155	
189	Tempura	9	19	1019	140	5616	36	624	130	80	1300	0	172	
190	Tempura	10	19	1019	-1	-1	-1	-1	140	80	1450	0	189	
191	Halo	1	20	1020	14	560	5	118	80	50	100	0	36	
192	Halo	2	20	1020	29	1180	9	180	90	50	250	0	53	
193	Halo	3	20	1020	45	1800	13	242	100	50	400	0	70	
194	Halo	4	20	1020	60	2420	17	304	110	50	550	0	87	
195	Halo	5	20	1020	76	3040	21	366	120	50	700	0	104	
196	Halo	6	20	1020	91	3660	25	428	130	50	850	0	121	
197	Halo	7	20	1020	107	4280	29	490	140	50	1000	0	138	
198	Halo	8	20	1020	122	4900	33	552	150	50	1150	0	155	
199	Halo	9	20	1020	138	5520	37	614	160	50	1300	0	172	
200	Halo	10	20	1020	-1	-1	-1	-1	170	50	1450	0	189	
201	Vasline	1	21	1021	16	660	5	132	50	50	140	0	34	
202	Vasline	2	21	1021	33	1320	10	198	60	50	300	0	52	
203	Vasline	3	21	1021	49	1980	15	264	70	50	460	0	70	
204	Vasline	4	21	1021	66	2640	20	330	80	50	620	0	88	
205	Vasline	5	21	1021	82	3300	25	396	90	50	780	0	106	
206	Vasline	6	21	1021	99	3960	30	462	100	50	940	0	124	
207	Vasline	7	21	1021	115	4620	35	528	110	50	1100	0	142	
208	Vasline	8	21	1021	132	5280	40	594	120	50	1260	0	160	
209	Vasline	9	21	1021	148	5940	45	660	130	50	1420	0	178	
210	Vasline	10	21	1021	-1	-1	-1	-1	140	50	1580	0	196	
211	Bomb	1	22	1022	8	960	10	100	80	100	-1	0	-1	
212	Bomb	2	22	1022	9	1000	15	104	90	100	-1	0	-1	
213	Bomb	3	22	1022	10	1040	20	108	100	100	-1	0	-1	
214	Bomb	4	22	1022	11	1080	25	112	110	100	-1	0	-1	
215	Bomb	5	22	1022	12	1120	30	116	120	100	-1	0	-1	
216	Bomb	6	22	1022	13	1160	35	120	130	100	-1	0	-1	
217	Bomb	7	22	1022	14	1200	40	124	140	100	-1	0	-1	
218	Bomb	8	22	1022	15	1240	45	128	150	100	-1	0	-1	
219	Bomb	9	22	1022	16	1280	50	132	160	100	-1	0	-1	
220	Bomb	10	22	1022	-1	-1	-1	-1	170	100	-1	0	-1	
221	Boss	1	23	1023	-1	-1	-1	-1	20	100	8160	0	840	
222	Boss	2	23	1023	-1	-1	-1	-1	28	100	9520	0	977.6	
223	Boss	3	23	1023	-1	-1	-1	-1	36	100	10880	0	1115.2	
224	Boss	4	23	1023	-1	-1	-1	-1	44	100	12240	0	1252.8	
225	Boss	5	23	1023	-1	-1	-1	-1	52	100	13600	0	1390.4	
226	Boss	6	23	1023	-1	-1	-1	-1	60	100	14960	0	1528	
227	Boss	7	23	1023	-1	-1	-1	-1	68	100	18000	0	1833.6	
228	Boss	8	23	1023	-1	-1	-1	-1	76	100	19600	0	1995.2	
229	Boss	9	23	1023	-1	-1	-1	-1	84	100	21200	0	2156.8	
230	Boss	10	23	1023	-1	-1	-1	-1	92	100	22800	0	2318.4	
